p3.2xlarge_us-east-1f	p3.8xlarge_us-east-1d	p3.8xlarge_us-east-1f	p3.2xlarge_us-east-1d	p3.8xlarge_us-east-1c	p3.8xlarge_us-east-1b	p3.2xlarge_us-east-1c	p3.2xlarge_us-east-1b	p2.16xlarge_us-east-1b	p2.8xlarge_us-east-1a	p2.16xlarge_us-east-1c	p2.16xlarge_us-east-1a	p2.8xlarge_us-east-1b	p2.8xlarge_us-east-1c	p2.16xlarge_us-east-1d	p2.8xlarge_us-east-1f	p2.16xlarge_us-east-1e	p2.8xlarge_us-east-1d	p2.8xlarge_us-east-1e	p3.16xlarge_us-east-1f	p2.xlarge_us-east-1d	p2.xlarge_us-east-1e	p2.xlarge_us-east-1f	p3.16xlarge_us-east-1d	p2.xlarge_us-east-1b	p2.xlarge_us-east-1c	p3.16xlarge_us-east-1c	p2.xlarge_us-east-1a	p3.16xlarge_us-east-1b
0.918	3.672	3.672	0.9989	3.672	3.672	0.919	0.94	4.32	2.16	14.4	4.6186	2.16	2.16	5.1305	7.2	4.32	2.16	2.16	7.344	0.4007	0.4419	0.9	7.344	0.4492	0.4019	7.344	0.448	7.344
0.918	3.672	3.672	0.9994	3.672	3.672	0.9201	0.9355	4.32	2.16	14.4	4.7442	2.16	2.16	5.2206	7.2	4.32	2.16	2.16	7.344	0.3989	0.4351	0.9	7.344	0.4377	0.4012	7.344	0.4413	7.344
0.918	3.672	3.672	0.9994	3.672	3.672	0.9201	0.9355	4.32	2.16	14.4	4.5603	2.16	2.16	5.0938	7.2	4.32	2.16	2.16	7.344	0.3977	0.4346	0.9	7.344	0.4289	0.4018	7.344	0.4366	7.344
0.918	3.672	3.672	0.9983	3.672	3.672	0.9214	0.9367	4.32	2.16	14.4	4.6633	2.16	2.16	5.1771	7.2	4.32	2.16	2.16	7.344	0.398	0.4328	0.9	7.344	0.4244	0.3979	7.344	0.4336	7.344
0.918	3.672	3.672	0.9984	3.672	3.672	0.9222	0.9356	4.32	2.16	14.4	4.7694	2.16	2.16	5.164	7.2	4.32	2.16	2.16	7.344	0.3962	0.4232	0.9	7.344	0.4221	0.3946	7.344	0.4288	7.344
0.918	3.672	3.672	0.9957	3.672	3.672	0.922	0.9351	4.32	2.16	14.4	4.6359	2.16	2.16	5.1823	7.2	4.32	2.16	2.16	7.344	0.3956	0.4114	0.9	7.344	0.4208	0.3957	7.344	0.4199	7.344
0.918	3.672	3.672	0.9931	3.672	3.672	0.9223	0.9366	4.32	2.16	14.4	4.745	2.16	2.16	5.1774	7.2	4.32	2.16	2.16	7.344	0.3948	0.4073	0.9	7.344	0.4156	0.3935	7.344	0.4135	7.344
0.918	3.672	3.672	0.9889	3.672	3.672	0.9219	0.9358	4.32	2.16	14.4	4.7411	2.16	2.16	5.1509	7.2	4.32	2.16	2.16	7.344	0.3954	0.4045	0.9	7.344	0.4086	0.3923	7.344	0.4094	7.344
0.918	3.672	3.672	0.9859	3.672	3.672	0.9215	0.9353	4.32	2.16	14.4	4.6103	2.16	2.16	5.1645	7.2	4.32	2.16	2.16	7.344	0.3947	0.4055	0.9	7.344	0.4049	0.3926	7.344	0.4052	7.344
0.9182	3.672	3.672	0.9834	3.672	3.672	0.9201	0.9342	4.32	2.16	14.4	4.7827	2.16	2.16	5.1944	7.2	4.32	2.16	2.16	7.344	0.3903	0.4066	0.9	7.344	0.4016	0.3917	7.344	0.4028	7.344
